Nan,Data
1,0.022272813
1,0.010445885
1,0.040777604
1,0.148796458
1,-0.011626771
1,-0.001175052
1,0.162434375
1,0.000671667
1,0.013438802
1,-0.006438229
1,0.059697031
1,0.111598385
1,0.183491458
1,0.035274219
1,0.100837135
1,-0.006663333
1,0.339846511
1,0.311760625
1,0.064000573
1,0.132208281
1,0.111678646
1,0.073893177
1,0.088716354
1,0.16263099
1,-0.010123437
1,0.018486094
1,0.09251349
1,0.002078802
1,0.084031615
1,0.084312865
1,0.001900156
1,0.004797865
1,0.001867135
1,0.184319115
1,0.011906302
1,0.202101979
1,0.033124271
1,-0.013196615
1,0.000141302
1,0.105472292
1,0.116390573
1,0.005279479
1,0.103379479
1,0.11982651
1,0.11482849
1,0.085232917
1,0.008361667
1,0.189075885
1,0.272738698
1,0.095894115
1,0.17998099
1,-0.011774219
1,0.008051354
1,0.090487292
1,0.054247083
1,-0.01226599
1,-0.013377708
1,0.00475474
1,-0.003190365
1,0.000823229
1,0.260624167
1,0.175979635
1,0.068147552
1,0.016546146
1,0.00937974
1,-0.029281771
1,0.057698958
1,-0.004049219
1,0.027218802
1,0.097364219
1,-0.010026094
1,0.054540156
1,-0.004245833
1,0.205329427
1,0.046211771
1,0.157213854
1,0.19209349
1,0.013371302
1,0.022059531
1,0.092874115
1,0.010809948
1,0.104296094
1,0.104272917
1,0.083101719
1,0.103273073
1,0.005123177
1,0.006848073
1,-0.003918437
1,0.005991042
1,0.495797084
1,0.262989219
1,0.077365521
1,-0.003090677
1,0.201808802
1,-0.002403385
1,0.291503698
1,0.088078646
1,0.162640938
1,0.075611927
1,0.002152917
1,0.16594151
1,0.129313958
1,0.059193906
1,0.147392865
1,0.044002083
1,0.044824219
1,0.076754948
1,0.05548
1,0.015681354
1,0.186634896
1,-0.015669219
1,0.122743021
1,0.073976146
1,0.088609844
1,0.178877031
1,0.000289531
1,0.092676198
1,-0.001010937
1,0.151826875
1,0.13438901
1,-0.007951042
1,0.00687375
1,0.017474531
1,0.175850677
1,0.063961146
1,0.001384948
1,-0.009639323
1,-0.015269635
1,0.180868594
1,0.31105349
1,0.004591823
1,0.015180781
1,9.62E-05
1,0.001737917
1,0.082749635
1,0.010779688
1,0.012507292
1,-0.019996406
1,-0.016073594
1,0.042123177
1,0.007226302
1,0.039375938
1,0.02397375
1,0.023526823
1,0.09932401
1,0.01358401
1,0.02781
1,0.216725677
1,0.122290573
1,0.336283177
1,0.153487604
1,-0.00893276
1,0.083268229
1,0.009049427
1,-0.013252396
1,0.025794792
1,0.098674583
1,0.009626094
1,0.001218594
1,0.008676719
1,0.007022813
1,-0.0022475
1,0.133768438
1,0.005068177
1,-0.011718698
1,0.024449323
1,0.108383073
1,0.036918438
1,0.00068349
1,0.259782344
1,0.023437083
1,-0.005913385
1,0.002321719
1,0.046279427
1,0.085687031
1,-0.001637604
1,0.142664844
1,-0.027778385
1,0.013360677
1,0.086627813
1,0.323724115
1,0.122539167
1,0.076835625
1,0.004287187
1,0.076728594
1,-0.003381563
1,0.204436302
1,0.219681875
1,0.021146615
1,0.105919531
1,0.059041042
1,0.251265938
1,0.014978437
1,0.191141406
1,-0.000770208
1,0.138910469
1,0.116707135
1,0.017977656
1,0.060254896
1,0.002937656
1,0.157574063
1,0.123726302
1,0.013901094
1,0.237648073
1,0.149142917
1,0.058854375
1,0.220648698
1,0.230815781
1,0.169752552
1,0.298200469
1,0.088020469
1,0.038914896
1,0.006549375
1,0.179763854
1,0.006921094
1,0.01001526
1,0.046168594
1,-0.003674115
1,0.001536875
1,0.006765677
1,-0.021916042
