,1
0,-0.0002484375
1,-0.0004015625
2,-0.0001890625
3,-0.00010546875
4,0.00021953125
5,9.765625e-05
6,0.00022421875
7,0.00019375
8,0.0001046875
9,0.00020078125
10,0.00021796875
11,0.0002859375
12,9.53125e-05
13,0.00032265625
14,0.00023828125
15,-3.203125e-05
16,-0.0001125
17,-0.00022734375
18,-0.000290625
19,-0.0003375
20,-0.000646875
21,-0.000428125
22,-2.03125e-05
23,-1.328125e-05
24,-0.00012734375
25,-0.00020234375
26,-0.00020078125
27,-7.265625e-05
28,0.00024609375
29,0.00019609375
30,-4.921875e-05
31,-0.00039921875
32,-0.000384375
33,-0.00039765625
34,-0.000353125
35,0.00019140625
36,0.0001
37,0.00039375
38,0.00039921875
39,0.000509375
40,0.000225
41,-6.40625e-05
42,-0.00029453125
43,-0.00021796875
44,-0.00020390625
45,-9.140625e-05
46,-0.00014375
47,0.00038515625
48,0.0003875
49,0.0002140625
50,0.0004921875
51,0.00028984375
52,0.0001
53,9.765625e-05
54,0.00023671875
55,0.00069765625
56,0.000409375
57,0.00068984375
58,0.0003171875
59,0.00015390625
60,-0.00067109375
61,-0.0008109375
62,-0.00080078125
63,-0.0005171875
64,9.375e-06
65,0.00011015625
66,-0.00010234375
67,-0.0004921875
68,-0.0005921875
69,-0.00020234375
70,-9.296875e-05
71,9.84375e-05
72,-0.00023359375
73,-0.00029296875
74,1.09375e-05
75,0.00012421875
76,0.00051953125
77,0.00014375
78,-0.0001203125
79,-0.000215625
80,-0.00026484375
81,1.25e-05
82,-0.0001828125
83,-0.0003984375
84,-0.0002953125
85,-0.000271875
86,6.484375e-05
87,0.00021953125
88,0.00027421875
89,0.00010234375
90,0.00018515625
91,-0.00011796875
92,-0.000209375
93,-0.00029921875
94,-0.00017421875
95,2.8125e-05
96,0.0002046875
97,9.765625e-05
98,8.359375e-05
99,-0.00020859375
100,-0.00027890625
101,1.015625e-05
102,0.000103125
103,9.84375e-05
104,-0.00011171875
105,-0.00020078125
106,1.328125e-05
107,0.00020078125
108,0.0002
109,0.0004046875
110,1.171875e-05
111,2.03125e-05
112,-0.00028828125
113,-0.00011328125
114,-0.00016171875
115,0.00058046875
116,0.0005109375
117,0.0002140625
118,0.000109375
119,2.5e-05
120,-0.00010234375
121,6.328125e-05
122,0.000121875
123,-0.00018828125
124,-0.000103125
125,-0.00035234375
126,-0.0006
127,-0.0003578125
128,8.984375e-05
129,0.00012421875
130,-0.0001
131,1.25e-05
132,-0.00011328125
133,0.00046328125
134,0.000503125
135,0.00031953125
136,-9.0625e-05
137,-0.00010703125
138,3.90625e-06
139,9.765625e-05
140,0.00021171875
141,0.0005796875
142,0.00069921875
143,0.00050546875
144,0.00018359375
145,0.0001
146,-1.09375e-05
147,-9.921875e-05
148,3.125e-06
149,-0.0001046875
150,-0.000403125
151,-0.000196875
152,-0.0001984375
153,6.25e-06
154,-5.46875e-06
155,3.125e-06
156,0.00010390625
157,3.90625e-06
158,-9.765625e-05
159,9.921875e-05
160,9.84375e-05
161,0.0001
162,-1.5625e-06
163,3.125e-06
164,-0.00010078125
165,-0.00010390625
166,-0.0001078125
167,-0.0003984375
168,-0.00019375
169,-0.000284375
170,-0.0003046875
171,-0.000196875
172,-0.00029765625
173,-0.0001390625
174,0.0001890625
175,0.00011484375
176,9.453125e-05
177,0.0001234375
178,-0.00017421875
179,-0.0002796875
180,-0.000415625
181,-3.75e-05
182,-8.671875e-05
183,-1.5625e-06
184,-0.000184375
185,-0.00016953125
186,0.00037109375
187,0.00054375
188,0.00029921875
189,0.00039921875
190,0.000296875
191,0.000325
192,-0.0003265625
193,-0.0005046875
194,-0.000278125
195,0.00019375
196,0.0001625
197,-0.00010703125
198,0.0002171875
199,0.0001015625
200,0.00021640625
201,0.0002984375
202,0.00026484375
203,-2.34375e-06
204,0.00011171875
205,0.0001046875
206,0.0003421875
207,0.0003984375
208,0.00026484375
209,-2.34375e-05
210,-7.421875e-05
211,0.0001140625
212,0.0002484375
213,0.00024921875
214,-0.000178125
215,-0.00020078125
216,-0.00016953125
217,-0.00011640625
218,-0.0001734375
219,0.00015
220,0.00013515625
221,-0.00011171875
222,-0.00011796875
223,-0.00030859375
224,-0.000125
225,8.359375e-05
226,-0.00024375
227,-9.609375e-05
228,-0.00011875
229,-0.000103125
230,8.90625e-05
231,-0.00029296875
232,-0.00040859375
233,-0.000503125
234,-0.0003984375
235,-0.00040625
236,-9.921875e-05
237,-0.000221875
238,9.53125e-05
239,-0.00024765625
240,-0.00039453125
241,-0.0006390625
242,-0.0008046875
243,-0.0007015625
244,-0.00072734375
245,-0.0003296875
246,-4.6875e-05
247,0.0002375
248,0.0002546875
249,0.00011796875
250,2.578125e-05
251,-0.00017890625
252,-0.0001265625
253,-1.5625e-06
254,-7.03125e-06
255,0.000178125
256,0.0001140625
257,-0.000265625
258,-0.0004921875
259,-0.0006171875
260,-0.00030234375
261,-0.000309375
262,0.0002078125
263,0.00010546875
264,9.765625e-05
265,-0.0004890625
266,-0.000490625
267,-0.0002015625
268,-0.00020234375
269,-9.609375e-05
270,0.0001125
271,0.00020078125
272,7.578125e-05
273,-0.00020625
274,-6.171875e-05
275,-1.171875e-05
276,-8.671875e-05
277,-1.25e-05
278,-0.00022734375
279,-0.00033359375
280,-0.0006
281,-0.000271875
282,-0.0001984375
283,-6.953125e-05
284,0.000125
285,9.140625e-05
286,-3.828125e-05
287,-0.0002
288,-8.203125e-05
